Wall time,Step,Value
1652906791.1055994,380000,-49.5
1652906820.7695255,380600,-49.5
1652906879.968832,381800,-49.5
1652906890.1298444,382000,-49.5
1652906899.8585494,382200,-49.5
1652906929.143329,382800,-49.5
1652906978.0278344,383800,-49.5
1652907036.906184,385000,-48.5
1652907046.7333589,385200,-48.5
1652907145.636184,387200,-47.5
1652907155.5500813,387400,-47.5
1652907194.5103834,388200,-47.0
1652907204.1785417,388400,-47.0
1652907243.5430691,389200,-48.5
1652907263.6161342,389600,-48.5
1652907321.9682798,390800,-49.0
1652907351.60275,391400,-49.0
1652907390.7311249,392200,-48.5
1652907400.4620788,392400,-48.5
1652907419.8744724,392800,-48.5
1652907430.0170352,393000,-48.5
1652907449.4834185,393400,-48.5
1652907557.6516328,395600,-48.0
1652907577.4093935,396000,-48.0
1652907655.4764516,397600,-47.5
1652907665.2274191,397800,-47.5
1652907694.5962725,398400,-48.0
1652907950.1527011,403600,-49.0
1652907989.3935869,404400,-48.0
1652908038.2740757,405400,-47.5
1652908087.8463693,406400,-48.0
1652908127.0134673,407200,-47.5
1652908136.827567,407400,-47.5
1652908205.656825,408800,-47.0
1652908244.9948392,409600,-48.0
1652908313.6568177,411000,-48.5
1652908323.311123,411200,-48.5
1652908333.1095288,411400,-48.5
1652908441.2511435,413600,-48.0
1652908451.0752475,413800,-48.0
1652908470.7074952,414200,-48.0
1652908509.740013,415000,-47.0
1652908558.5511777,416000,-46.5
1652908637.108359,417600,-47.5
1652908656.6398728,418000,-47.5
1652908676.6572294,418400,-47.5
1652908735.5846553,419600,-48.5
1652908745.5773551,419800,-48.0
1652908764.9540076,420200,-48.5
1652908794.2016196,420800,-48.5
1652908814.511112,421200,-48.0
1652908853.9879725,422000,-48.0
1652908863.703647,422200,-48.0
1652908903.5837953,423000,-47.0
1652908913.4323137,423200,-46.5
1652908952.6552532,424000,-46.0
1652908962.5676517,424200,-46.0
1652908992.0148582,424800,-46.0
1652909001.7466,425000,-46.0
1652909031.3467155,425600,-46.5
1652909119.8788798,427400,-48.0
1652909149.3548527,428000,-48.0
1652909247.983985,430000,-49.5
1652909345.8756616,432000,-48.5
1652909375.817277,432600,-48.0
1652909445.0581455,434000,-48.0
1652909513.9722886,435400,-49.0
1652909622.495595,437600,-49.5
1652909642.0576153,438000,-48.5
1652909691.6656818,439000,-47.5
1652909740.5888207,440000,-47.0
1652909760.2946851,440400,-46.5
1652909780.0062742,440800,-46.0
1652909838.848,442000,-46.0
1652909858.3702996,442400,-45.5
1652909887.8339639,443000,-46.5
1652909897.6163454,443200,-46.5
1652909956.5872037,444400,-48.0
1652909995.694918,445200,-48.0
1652910103.9754603,447400,-49.5
1652910133.398134,448000,-49.5
1652910182.8396308,449000,-49.5
1652910310.5198166,451600,-49.0
1652910379.246347,453000,-48.5
1652910408.7516935,453600,-48.5
1652910546.912829,456400,-48.0
1652910655.1039433,458600,-48.0
1652910734.2237358,460200,-47.5
1652910783.561338,461200,-48.0
1652910793.4005332,461400,-48.0
1652910842.5922897,462400,-48.5
1652910892.0997183,463400,-48.5
1652910921.4888594,464000,-48.5
1652910970.775344,465000,-48.5
1652911049.8138905,466600,-48.5
1652911079.6771216,467200,-48.0
1652911129.0747147,468200,-47.5
1652911148.9343367,468600,-47.5
1652911158.7106688,468800,-47.5
1652911168.4102333,469000,-47.5
1652911188.189288,469400,-48.5
1652911247.5910952,470600,-48.5
1652911296.9942331,471600,-49.0
1652911316.3567169,472000,-49.5
1652911454.5290391,474800,-48.5
1652911503.7528696,475800,-48.0
1652911562.7801611,477000,-48.0
1652911612.1084406,478000,-48.0
1652911631.9226458,478400,-48.5
1652911651.551448,478800,-48.0
1652911661.3078375,479000,-48.0
1652911691.0335643,479600,-48.5
1652911701.268112,479800,-48.5
1652911996.842657,485800,-49.0
1652912026.3180234,486400,-49.0
1652912069.20759,487200,-49.5
1652912079.0212364,487400,-49.5
1652912110.3219235,488000,-49.5
1652912131.127783,488400,-49.5
1652912140.992602,488600,-49.5
1652912262.7194118,491000,-49.0
1652912341.4614801,492600,-48.0
1652912361.0655184,493000,-48.0
1652912370.8086588,493200,-48.0
1652912410.0414114,494000,-48.0
1652912449.2567182,494800,-48.0
1652912489.0621252,495600,-47.5
1652912557.836095,497000,-48.5
1652912567.6794555,497200,-49.0
1652912607.1457684,498000,-49.0
1652912646.550801,498800,-49.0
1652912696.5346823,499800,-49.0
1652912716.1905582,500200,-49.0
1652912745.5402396,500800,-49.5
1652912765.3871493,501200,-49.5
